RASGOS,COMENTARIOS
EXHIBICIONISMO,"El sexo es mágico, y más cuando está con la persona correcta."
EXHIBICIONISMO,"El sexo es la delicadeza de mis pasiones, mis instintos de mujer salvaje."
EXHIBICIONISMO,"El sentimiento más rico, tu sexo en mi boca"
EXHIBICIONISMO,"El propósito del sexo tiene que ser compartir, disfrutar, divertirse, etc."
EXHIBICIONISMO,"El otro día vi a mi vecino desnudo, estaba en su piscina, y créanme que tiene un enorme"
EXHIBICIONISMO,"El orgasmo es la gran cantina de las palabras. Sólo permite gemir, aullar, expresión inhumana, pero no la palabra"
EXHIBICIONISMO,"El kamasutra es mágico, quita todos los dolores.."
EXHIBICIONISMO,"El gemido engaña, la humedad no"
EXHIBICIONISMO,El clítoris es un área muy importante para el placer femenino.
EXHIBICIONISMO,Disfrutar de una noche de sexo en TV...jijii
EXHIBICIONISMO,"Desde entonces no puedo dormir bien, cada noche te extraño más, quiero sentirte cerca de mí"
EXHIBICIONISMO,Descubre el repertorio erótico más allá de la penetración
EXHIBICIONISMO,"Depende de la situación, y de las cláusulas del contrato xxx jajjaja si todos estamos de acuerdo, ¿por qué no??"
EXHIBICIONISMO,"Déjame llenar tu copa de nuevo, para que puedas beber tu vino de nuevo en esta noche alegre... ya me dio el poeta jaja"
EXHIBICIONISMO,Deja que todos sean envidiosos y bésame suavemente.
EXHIBICIONISMO,"Deja de preocuparte, mi cuerpo no pide tu opinión."
EXHIBICIONISMO,"Debes tener llamas, ya que cada vez que te acercas a mí me haces sentir caliente."
EXHIBICIONISMO,"Debes tener fuego, porque cada vez que te acercas a mí, me calientas."
EXHIBICIONISMO,Debes tener fuego porque me calientas cada vez que te acercas a mí.
EXHIBICIONISMO,Debemos permitirnos ser libres y permitirnos fluir... No todas las tentaciones son negativas.
EXHIBICIONISMO,"topless en el balcon de mi casa, para que los sapos, chismosos de los vecinos hablen con ganas"
AUTOSUFICIENCIA,"Si usted se siente capaz tanto económico, físico y emocional, usted está en todo su derecho a experimentar la alegría de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo principal es dar amor y tener paciencia hacia el niño."
AUTOSUFICIENCIA,"Si una mujer puede y tiene como mantener a un niño solo sin la figura de un hombre a su lado, bueno, es su decisión y su responsabilidad"
AUTOSUFICIENCIA,"Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto implica, el niño puede ser criado con buenos valores y ser una buena persona, incluso sin la figura paterna. Tenga en cuenta que el núcleo familiar en estos tiempos es diverso."
AUTOSUFICIENCIA,Si pueden y quieren tener el derecho de cumplir su sueño de ser madres de alguna manera
AUTOSUFICIENCIA,"Si mi pareja no tiene dinero o está en un mal momento económico, yo como mujer también podría asumir ese gasto."
AUTOSUFICIENCIA,"Si hablamos de no darle la oportunidad de tener una familia, creo que debemos entender que la familia no es exactamente tener papá, mamá, hermanos, etc. Muchas veces las “familias” se componen de dos personas. El hecho de que una mujer quiere tener un hijo sin estar casado o algo"
AUTOSUFICIENCIA,"Si estoy comprando, estoy pagando."
AUTOSUFICIENCIA,Si estoy completamente de acuerdo en que tienen un hijo porque es un deseo que cada mujer tiene.
AUTOSUFICIENCIA,"Si es importante, nuestro conocimiento no sirve de nada si somos descuidados en nuestro bienestar."
AUTOSUFICIENCIA,"Si bien es cierto que todos los niños tienen el derecho de tener una familia, sin embargo, existen mujeres que tienen el deseo de ser madres biológicas, de sentir cómo un ser crece dentro de nosotros, y contra ese deseo nadie puede oponerse."
AUTOSUFICIENCIA,"Sería bueno que trataran de socializar sobre la adopción de niños que no tienen hogar, pero al mismo tiempo respetan los criterios que esta mujer tiene al tratar de tener un hijo."
AUTOSUFICIENCIA,"Ser madre va más allá de lo que una sociedad dice Creo que es el amor más noble que podemos dar, hay personas que no saben lo que es el amor y niegan esas posibilidades"
AUTOSUFICIENCIA,"Ser madre soltera no es un delito, y una familia no deja de ser una familia porque no tienen una pareja sentimental, en este caso la figura paterna. En muchos casos, cuando los hombres descuidan ese papel, el abuelo lo reemplaza."
AUTOSUFICIENCIA,"Se sabe que el dinero no da felicidad, hay incluso muchas personas con grandes fortunas que no pueden disfrutar de ella, pero si considero que el dinero ayuda en nuestra estabilidad en el entorno personal y social."
AUTOSUFICIENCIA,Regularmente la felicidad no depende del dinero pero sin embargo tener estabilidad económica en estos tiempos no suena mal en absoluto
AUTOSUFICIENCIA,Quiero que seas feliz aunque no estés conmigo...
AUTOSUFICIENCIA,Primero tienes que tener buena estabilidad económica para proporcionar bienestar a un niño
AUTOSUFICIENCIA,Prefiero pecar y masturbarme!!!
AUTOSUFICIENCIA,"Prefiero no hablar de religiones, ninguna me gusta"
AUTOSUFICIENCIA,Prefiero la tranquilidad de la soledad que la decepción de una mala compañía como la suya
AUTOSUFICIENCIA,Prefiero hacerlo solo.
AUTOSUFICIENCIA,Por eso respeto lo que otros piensan y crean.
AUTOSUFICIENCIA,"Personalmente soy muy feliz con lo que tengo, no creo que el dinero trae con ella felicidad, por el contrario. Pero, tener una estabilidad económica es muy importante para poder vivir."
AUTOSUFICIENCIA,"No voy a rogar ni amor, ni atención, ni amistad. Doy las gracias a los que son y a los que se van les deseo buena suerte"
AUTOSUFICIENCIA,"No vivo con la gente, no me importa de qué hablen."
AUTOSUFICIENCIA,"No tienes que depender de nada ni de nadie en este mundo, porque incluso tu sombra te deja cuando estás en la oscuridad."
AUTOSUFICIENCIA,"No te preocupes por mí, puedo hacerlo solo."
AUTOSUFICIENCIA,No te necesito para joder la cosa.
AUTOSUFICIENCIA,No suplico ni espero nada de nadie.
AUTOSUFICIENCIA,"No significa que usted está negando a un niño la oportunidad de una familia. Creo que el concepto de familia que tiene la mayoría de la gente es un poco errónico Pero bien, ¿quiénes somos nosotros para juzgar?"
AUTOSUFICIENCIA,"No se trata de egoísmo, a veces son las circunstancias, y la gente podría juzgar sin saber.. También si usted puede hacer todo solo está bien para cuidar del niño"
AUTOSUFICIENCIA,No podrías manejarme aunque viniera con un manual de instrucciones.
AUTOSUFICIENCIA,"No me importa, cada uno debe aprender a dar forma a su destino."
AUTOSUFICIENCIA,No le temo a nada.
AUTOSUFICIENCIA,"No hay nada de malo en que una familia sea sólo madre e hijo, siempre y cuando una madre tenga los recursos para proporcionar una vida digna a sus hijos no es malo, no es necesario que el padre del niño esté presente para llamar a casa FAMILIA"
AUTOSUFICIENCIA,No estoy rogando a nadie... si se va.
AUTOSUFICIENCIA,"No estoy interesado en las opiniones de la gente sobre mi vida, mi trabajo, amigos y amores.. Tengo mi propia manera de hacer las cosas, si es bueno o malo es mío"
AUTOSUFICIENCIA,"No creo en las religiones, todos tenemos libre alberdrium"
AUTOSUFICIENCIA,Ninguna mujer debe olvidar jamás que no necesita a nadie que no la necesite.
AUTOSUFICIENCIA,"Muchas veces la mujer busca sentir ese deseo de ser madre sin depender de alguien, si esa mujer es económicamente estable y tiene tiempo de cuidar a esa pequeña persona porque estaría en todo su derecho."
AUTOSUFICIENCIA,"Mientras una mujer se hace responsable, ella puede decidir qué hacer con su cuerpo. Aun así, ella debe ser consciente de cómo y en qué circunstancias quiere satisfacer ese deseo. Hay casos en los que las parejas que no pueden tener hijos buscan-"
AUTOSUFICIENCIA,"Mientras tengas tanto trabajo como estabilidad emocional, será un buen ambiente de crianza."
AUTOSUFICIENCIA,"Mientras que hay estabilidad en el hogar, no creo que sea un problema importante."
AUTOSUFICIENCIA,"Mientras que es cierto, el dinero es fundamental para que un ser humano sobreviva en este mundo caótico. Hay muchos más detalles que son necesarios para nuestro desarrollo que el dinero no puede comprar, tales como: amor verdadero, salud neta, etc."
AUTOSUFICIENCIA,"Mientras no le pidas nada a nadie, tienes todo el derecho de traer un niño al mundo, de la manera que quieras y con quien quieras."
AUTOSUFICIENCIA,"Mientras la mujer esté preparada en todos los sentidos y sea consciente de esa enorme responsabilidad, creo que no habría ningún problema."
AUTOSUFICIENCIA,Mientras la mujer asuma la responsabilidad de las consecuencias todo está bien.
AUTOSUFICIENCIA,"Miedo es estúpido, arrepintiéndose también"
AUTOSUFICIENCIA,"Mi opinión para el desarrollo de un niño es el afecto necesario, y sentirse seguro en su hogar si la mujer hoy decide hacerlo sola no para complacer una vanidad, pero es su naturaleza para proteger, amar y criar esto en el deber de ser."
AUTOSUFICIENCIA,Me importa un bledo tu opinión.
AUTOSUFICIENCIA,"Me gusta la tranquilidad de mi propio espacio, así que no vivo con mis padres, pero si los visito regionalmente"
AUTOSUFICIENCIA,"Masturbación no es un pecado, y no tiene nada que ver con la religión."
AUTOSUFICIENCIA,"Masturbación no es un pecado, también es jajaja saludable :)"
AUTOSUFICIENCIA,Los que están cubiertos bajo una religión a menudo son los peores seres humanos.. La religión no ayuda en absoluto.
AUTOSUFICIENCIA,"Las religiones no sirven, son una mentira, es mejor ser una buena persona bajo nuestros propios pensamientos..."
AUTOSUFICIENCIA,Las mujeres tienen todo el derecho a ser madres de cualquier manera posible.. pero también el niño tiene el derecho de tener una familia.
AUTOSUFICIENCIA,"Las mujeres también pueden invitar a los hombres, no siempre, pero una vez de repente, está bien.."
AUTOSUFICIENCIA,"Las mujeres son libres de elegir si estar con alguien o no, algunos simplemente tienen el deseo de ser madres. Un concepto atrasado de la familia es mamá papá e hijos; actualmente la palabra familia tiene un concepto mucho más abierto."
AUTOSUFICIENCIA,Las mujeres son libres de decidir si tienen o no hijos
AUTOSUFICIENCIA,"Las mujeres son autosuficientes y no necesitamos un hombre para salir adelante, y mucho menos criar a un hijo."
AUTOSUFICIENCIA,"Las mujeres somos independientes y autosuficientes, si queremos aceptar esa gran responsabilidad de traer a los niños al mundo, y cumplir ese hermoso sueño de ser una madre, ¡de acuerdo! :)"
AUTOSUFICIENCIA,"Las familias son diversas no siempre requiere algo tradicional, bien puede una mujer cuidar de su hijo solo"
AUTOSUFICIENCIA,Las decisiones que tomamos y nuestras acciones definen cuánto seremos
AUTOSUFICIENCIA,"Las cosas son como son, y tienes que aceptarlo."
AUTOSUFICIENCIA,"La verdad es que cualquier mujer tiene el derecho de vivir su vida como desee y si esa es su decisión, entonces el resto debe aceptar."
AUTOSUFICIENCIA,La mujer que tiene el deseo de tener un hijo porque está bien también empiezo a pensar que el niño también en el futuro tendrá el deseo de tener una familia
AUTOSUFICIENCIA,"La mujer debe tener una estabilidad económica y emocional, con el fin de mantener y cuidar al bebé"
AUTOSUFICIENCIA,"La maternidad depende de cada mujer y de las posibilidades que tiene para ofrecer a un niño, puede criarla sola y generarla con un concepto que no sólo la familia está compuesta por: padre, madre e hijos."
AUTOSUFICIENCIA,"La madre es la persona que trae a un ser humano a este mundo. Así que ella tiene en gran parte el derecho de decidir cómo será el desarrollo de su hijo, la relación con la gente a su alrededor. no dar una familia a su hijo."
AUTOSUFICIENCIA,"La madre debe tener estabilidad económica, a fin de mantener al niño."
AUTOSUFICIENCIA,La gente es dueña de su propio destino.
AUTORITARISMO,"Si, ya que ha habido muchas irregularidades en este campo, tanto las mujeres que se ven obligadas a realizarlas y lugares que son inapropiados para llevar a cabo tal actividad"
AUTORITARISMO,"Si, en el mundo de la prostitución, las personas son a menudo forzadas, y es incorrecto explotar a las personas que no quieren porque no es respetar su dignidad, todavía hay personas que la ejercen por su propia voluntad y están en su derecho."
AUTORITARISMO,"Si voy, todos iremos."
AUTORITARISMO,"Si usted se siente capaz tanto económico, físico y emocional, usted está en todo su derecho a experimentar la alegría de ser una madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo principal es dar amor y ser paciente con ese nuevo ser."
AUTORITARISMO,"Si usted piensa que sus ideas son mejores que las mías, entonces usted no me necesita, usted debe hacerlo todo por sí mismo."
AUTORITARISMO,"Si usted no está interesado, entonces salga."
AUTORITARISMO,"Si tu madre quiere visitarte, haz que ella venga a la casa, no vas a ninguna parte, escuchaste."
AUTORITARISMO,"Si se impusiera la regularización de la prostitución, esto abriría más fuentes de trabajo para las personas que realmente no tienen otra manera de generar ingresos."
AUTORITARISMO,"Si realmente me amas, tendrás que aguantarme."
AUTORITARISMO,Si quieren y tienen la posibilidad financiera de mantenerlo tienen todo el derecho del mundo a hacerlo.
AUTORITARISMO,"Si quieren verte venir a la casa, no salgas de aquí."
AUTORITARISMO,"Si otros asuntos ya están siendo regulados, el impacto de la regulación de la prostitución, aunque implique esclavitud de las víctimas, podría incluso tener efectos contrarios al pensamiento común, por lo tanto, si la impone."
AUTORITARISMO,"Si no vamos al partido de fútbol, no vamos a ninguna parte."
AUTORITARISMO,"Si no respetas, si ladras en lugar de hablar, no finjas ser respetado."
AUTORITARISMO,"Si no haces esto, te castigaré."
AUTORITARISMO,"Si no fuera por mí, todo esto no seguiría adelante..."
AUTORITARISMO,"Si no apoyas mi idea, el desempleo te espera."
AUTORITARISMO,"Si me encuentras ofensivo, entonces sugiero que dejes de buscarme."
AUTORITARISMO,"Salgan de mi presencia, interpónganse en mi camino."
AUTORITARISMO,"Sabes lo que me gusta hacer, no me preguntes otra vez.."
AUTORITARISMO,regular la prostitución
AUTORITARISMO,Regular la esclavitud. (Aunque junto con la prostitución pueden ser casi lo mismo)
AUTORITARISMO,Regulación de la esclavitud
AUTORITARISMO,Recuerde que todo el mundo sin excepción debe llegar temprano.
AUTORITARISMO,"Recuerde que todo el mundo sin excepción debe llegar temprano, aquí se respetan los horarios, pero quieren ser despedidos"
AUTORITARISMO,Quiero que termines este trabajo mañana.
AUTORITARISMO,"Quiero decir, no puedo decir, no, no puedes decir, no te autorizo a hablar."
AUTORITARISMO,"Puse orden en tu vida, y sin embargo te atreves a cuestionar mis decisiones. ¡Eres un mal agradecido!"
AUTORITARISMO,"Puede que pienses que está mal, pero la realidad social es diferente, así que es mejor regularla."
AUTORITARISMO,Porque yo lo digo... y eso es todo.
AUTORITARISMO,"Por favor, escucha mi consejo.. es mejor que lo hagas incluso si no te gusta."
AUTORITARISMO,"Parece que no escuchaste lo que dije, no vayas a través de las ramas otra vez."
AUTORITARISMO,"Para dar prioridad a los nacionales, el gobierno debe imponer un régimen más estricto si los hp quieren entrar en nuestro país"
AUTORITARISMO,"Para casarse conmigo, de lo contrario me obedecerías."
AUTORITARISMO,Obedeceme y así sé que me amas
AUTORITARISMO,"No, no quiero hablar contigo."
AUTORITARISMO,"No, no hay lugar para ningún diálogo."
AUTORITARISMO,"No, es más importante regular la esclavitud."
AUTORITARISMO,"No voy a cuidar de ningún huevo, que lo hagan ellos mismos, me voy mañana y eso es todo."
AUTORITARISMO,"No te metas conmigo, no responderé."
AUTORITARISMO,No te he autorizado a cambiar tu color de pelo.
AUTORITARISMO,"No te estoy pidiendo, ya te inscribí en el curso, necesitas más horas de trabajo para mejorar tu entrenamiento... además, estar agradecido de que es un regalo"
AUTORITARISMO,"No te estoy pidiendo, te estoy diciendo que mi idea es mejor.. Sólo sigue mis órdenes."
AUTORITARISMO,"No te estoy pidiendo cara de gallo, te lo estoy diciendo."
AUTORITARISMO,"No te atrevas a desobedecer mis reglas, pero será muy malo para ti.."
AUTORITARISMO,"No soy intransigente, sólo soy exigente, me gustan las cosas bien hechas, pero mejor no hacer nada.."
AUTORITARISMO,"No seas tonto, no es como dices, escúchame."
AUTORITARISMO,"No necesito hablar contigo, todo se dice aquí."
AUTORITARISMO,"No necesitas maquillaje, no necesitas pintar tu cabello, quiero una mujer no un payaso.. Así que, quítate esos huevos."
AUTORITARISMO,"No me digas eso, sabes que estoy enojado, lo sabes."
AUTORITARISMO,"No insistas en lo mismo, mi decisión ya está tomada."
AUTORITARISMO,"No importa lo que tengas que hacer, lo quiero para mañana y eso es todo."
AUTORITARISMO,"No hay vuelta atrás, ya hablé con usted, y vamos a hacer lo que te dije.."
AUTORITARISMO,"No estoy pidiendo tu opinión, la estoy exigiendo."
AUTORITARISMO,no es una imposición pero si una razón para la vida
AUTORITARISMO,"No eres nadie en mi vida, no te atrevas a cuestionar mis decisiones."
AUTORITARISMO,"No creo que sea una imposición o una prostitución de esclavitud regular, pero creo que es una garantía porque usted debe regular este trabajo como cualquier otro"
AUTORITARISMO,"No creo que sea una esclavitud, cada uno tiene la opción de elegir lo que quiere ser.. Entonces creo que es necesario y conveniente regular la prostitución."
AUTORITARISMO,No creo que regular esta antigua profesión sea someter a los que la realizan a la esclavitud... sino más bien creo que es una contribución para garantizar sus derechos.
AUTORITARISMO,"No creo que la esclavitud exista si lo hacen por libre albedrío... siempre hay otras opciones, pero definitivamente estoy de acuerdo en que está regulado"
AUTORITARISMO,"Ni yo soy gaga ni tú eres sordo, tienes que hacer lo que te dije."
AUTORITARISMO,"Nada fortalece la autoridad más que el silencio, así que no diré nada más"
AUTORITARISMO,"Muchas veces la mujer busca sentir ese deseo de ser madre sin depender de alguien, si esa mujer es económicamente estable y tiene tiempo para cuidar a ese niño porque estaría en pleno derecho."
AUTORITARISMO,Mis decisiones no son analizadas sólo ejecutadas
AUTORITARISMO,"Mientras vivas bajo mi propio techo, seguirás mis reglas."
AUTORITARISMO,"Mientras vivan bajo mi techo, comen y se visten como digo."
AUTORITARISMO,"Mi opinión es que una mujer puede buscar cualquier manera de quedar embarazada, pero ella también debe dar una familia al bebé."
AUTORITARISMO,"Mi familia debe entender, pero si es una buena oportunidad, también tienen que aceptar mis decisiones, y lo que digo"
AUTORITARISMO,"Mejor déjame hacerlo por mi cuenta. Lo compré, lo armé."
AUTORITARISMO,"Me dejas parado como todas las cosas, y no puedes venir a ayudarme."
AUTORITARISMO,"Los criminales no tienen derechos, aquí están ellos o nosotros."
AUTORITARISMO,"Lo que tienes que hacer es seguir mis instrucciones, es tan simple y simple, tal vez es tan difícil seguir mis órdenes"
INESCRUPULOSO,"¡Siempre tenemos que perdonar a nuestros enemigos, nada los hace enojar más que eso!"
INESCRUPULOSO,"¡No me intereses en tu dolor, deja que se vaya a la mierda! ¡Y deja que pague karma tan simple como eso!"
INESCRUPULOSO,"¡¡Siempre es así, el que ríe el último ríe el mejor, siempre!!"
INESCRUPULOSO,"¡¡Estás imaginando cosas, eso no es lo que dije!!"
INESCRUPULOSO,"Yo tomaría las mejores decisiones, y trataría de incluirlas en mi éxito."
INESCRUPULOSO,"Yo no tendría una relación de este tipo, no es justo."
INESCRUPULOSO,Yo no sentiría el dolor como el mío... tal vez alguna empatía y si puedo evitarlo no me gustaría ser burlado por cualquier desgracia mía. No hagas lo que no quieres que se haga.
INESCRUPULOSO,Yo no lo adoptaría porque él tiene su familia biológica que puede ser cuidado por su propio hijo.
INESCRUPULOSO,"Yo no estaría interesado, dejar que sufra lo que tiene que sufrir"
INESCRUPULOSO,Yo no estaría interesado y yo tampoco haría nada.
INESCRUPULOSO,"Yo estaría entristecido por mi enemigo, pero el sufrimiento de él no lo tomaría como el mío como ser gente muy diferente Prefiero continuar con mis metas y Dios lo ayude a resolver su problema porque no lo haré."
INESCRUPULOSO,Voy a ignorarte tanto que vas a dudar de tu existencia...
INESCRUPULOSO,"Verdad No.: o no quiero ser madrastra, y peor que ese niño no me obedece... nooo"
INESCRUPULOSO,Trataría de buscar ayuda y si me doy cuenta de que no puedo tratar de ponerlo en adopción a una persona que puede ser responsable y puede asumir los gastos
INESCRUPULOSO,Tomas todo demasiado personal.
INESCRUPULOSO,"Todos tienen derecho a ser estúpidos, pero ustedes están abusando de ese privilegio."
INESCRUPULOSO,Todos los imperios son creados con sangre y fuego
INESCRUPULOSO,Todos los hombres buscan una recompensa. Nadie hace nada por nada.
INESCRUPULOSO,"Todos cometemos pecados, y la religión no es la manera fácil de borrarlos, pero cada uno es libre de tener su propio juicio."
INESCRUPULOSO,"Todo sucede para algo, y honestamente sentir el dolor de mi enemigo, creo que no podría, porque algo es mi enemigo!!"
INESCRUPULOSO,Todo lo que vale la pena vrg... es hora de una revolución real
INESCRUPULOSO,Todo lo que se hace en interés propio está justificado.
INESCRUPULOSO,"Todo lo peligroso se convierte en plata. Como dijo Pablo Escobar, para ganar dinero tienes que arriesgarte."
INESCRUPULOSO,Todo el mundo está buscando una recompensa. Nadie hace nada gratis o por amor.
INESCRUPULOSO,"terminaría la relación, y saldría con su mejor amigo, creo que le haría daño más jijij"
INESCRUPULOSO,"Tener un hijo con estas condiciones es mucha responsabilidad y cuidado, además de que no tendría una buena calidad de vida, si todavía no nace preferiría un aborto, si nace, lo daría en adopción"
INESCRUPULOSO,Te ignoro porque eso es más fácil que apuñalarte y esconder tu cuerpo.
INESCRUPULOSO,"Tanto extranjero en el país reduce los lugares de trabajo para los nacionales, realmente son un problema, por otra parte ha generado mucha inseguridad"
INESCRUPULOSO,"Sinceramente prefiero cambiar e ignorar el tema. Siendo mi peor enemigo no podía sentir su dolor y tener la empatía que tengo hacia otras personas. Si está dentro de mis medios, tal vez lo ayudaría."
INESCRUPULOSO,"Sinceramente no, porque una nueva familia siempre se formará y cuando tener hijos con otra persona siempre habrá problemas que descuidas para el uno e incluso llegar al punto de denunciar."
INESCRUPULOSO,Sinceramente es una pregunta difícil para aquellos que no les desean el mal o el peor enemigo. Pero prefiero ignorar el tema muy delicado para mí
INESCRUPULOSO,"Simplemente no me importaría lo que le pasara, yo ignoraría totalmente su existencia."
INESCRUPULOSO,"Siendo consciente de toda esa responsabilidad, e incluso si duele, preferiría no nacer."
INESCRUPULOSO,"Si ya hay varias veces, la verdad te las devolvería."
INESCRUPULOSO,"Si vas a tener una vida limitada, será mejor que no nazcas."
INESCRUPULOSO,"Si usted gana la reputación de ser MI AMOR AMOR mucho daño nos hicimos el uno al otro por lo que parecería hipócrita para sentir el dolor como mío. Y como la pregunta es ignorar pero no sentirse feliz por el dolor de otros, entonces mi respuesta es: Sí, IGNORARIO"
INESCRUPULOSO,"Si un hombre sonríe todo el tiempo, probablemente está vendiendo algo que no funciona."
INESCRUPULOSO,"Si todos somos lindos, trataría de convencerla."
INESCRUPULOSO,"Si te resistes a que tu alma se enferme, es mejor ceder a la tentación."
INESCRUPULOSO,"Si te hizo feliz, no cuenta como un error"
INESCRUPULOSO,"Si se detecta en gestación y no hay manera de corregirlo, realmente prefiero que no nazca."
INESCRUPULOSO,"Si se detecta antes del nacimiento consideraría que se aborta, porque viene a sufrir y tendría situaciones difíciles y una mala calidad de vida, si es cuando nació me cuidaría y apoyaría en todo lo que puedo."
INESCRUPULOSO,Si porque a veces para lograr lo que queremos nuestro instinto para sobresalir nos lleva a aceptar propuestas indecentes
INESCRUPULOSO,"Si no tuviera suficientes recursos, lo daría en adopción para que alguien pudiera darle la vida que se merece y que yo no podría ofrecerle."
INESCRUPULOSO,"Si no tengo los recursos para cuidarlo, lo daría en adopción."
INESCRUPULOSO,Si no tengo hijos porque tendría que salir con alguien que lo hace?? No sería justo :(
INESCRUPULOSO,Si no me muestran me necesitan porque tendría que hacerlo yo mismo.
INESCRUPULOSO,"Si no me hablas o me escribes, no estoy interesado en tu atención."
INESCRUPULOSO,"Si no es una relación seria, no me importa."
INESCRUPULOSO,"Si mi padre o mi madre está realmente muerto en la vida y no hay otra opción, preferiría una muerte digna, pero no lo haría por dinero, sino para evitar que sufra."
INESCRUPULOSO,"Si mi padre indica expresamente que en tal situación desea que se aplique la eutanacia, tal vez lo haría, si no, no"
INESCRUPULOSO,"Si mi padre está sufriendo, y su enfermedad es irreversible, prefiero éste con Dios, sería una decisión difícil, pero trataría de no sufrir, tal vez si lo haría."
INESCRUPULOSO,"Si mi enemigo me pide ayuda, no se la daría, aunque esté en mis manos resolver su problema."
INESCRUPULOSO,"Si me los pongo, y le haría saber ;)"
INESCRUPULOSO,"Si me adviertes en el embarazo que nací así y tengo la opción de abortarlo, lo haría, sé que muchos me juzgarían pero no estaría dispuesto a que mi hijo sufra en un mundo donde la violencia, la discriminación, la burla y el rechazo gobiernan a la humanidad."
INESCRUPULOSO,"Si lo hacen tan fácil para mí, podría...... ja ja ja ja ja."
INESCRUPULOSO,"Si la vida actual de mi padre o madre ya es una vida artificial, y es doloroso saber que nunca más será la misma persona, yo realmente aceptaría la eutanacia pero no recoger dinero o herencia..."
INESCRUPULOSO,"Si la pregunta se basa específicamente en la adopción o la muerte, preferiría que muriera y no porque no me siento capaz de cuidar de ella o que me importa la discriminación, pero sería una cobardía para darle en la adopción, pero lo que realmente haría es que lucharía hasta el final."
INESCRUPULOSO,Si la malformación hubiera sido detectada a buen tiempo no te permitiría nacer para evitar varias cosas
INESCRUPULOSO,"Si la frase se aplicara, el fin justifica los medios"
INESCRUPULOSO,"Si hubiera observado todas las reglas, nunca habría llegado a ninguna parte."
INESCRUPULOSO,Si hablamos de tristeza e infelicidad en las circunstancias... Es obvio que usted escogerá ser millonario... Puesto que el dinero no puede darle la felicidad deseada... Pero si puede darle ciertos momentos... A diferencia de ser pobre...
INESCRUPULOSO,"Si el caso surge y estoy en la posibilidad de abortar, lo haría, pero si no, trataría de tener siempre en cuenta la realidad del mundo y que el apoyo y el amor de una madre o familia siempre será incondicional para él."
INESCRUPULOSO,"Si dije algo, fue porque me provocaste.."
INESCRUPULOSO,"Si acepto, lo tomaría como un desnudo profesional disfrutando del trabajo sexual :')"
INESCRUPULOSO,Será mejor que quemes ese huevo...
INESCRUPULOSO,"Se supone que ya tiene un padre, y no creo que siga a esa persona infiel."
INESCRUPULOSO,Realmente pienso que no sería capaz de cuidar de una pequeña persona que no es mi responsabilidad.
INESCRUPULOSO,Realmente no creo que sea capaz de hacerlo.
INESCRUPULOSO,"Prefiero ignorar el tema, porque si es mi enemigo no merece mi ayuda o mi tiempo"
INESCRUPULOSO,"Podría tratar de ignorar el tema, pero entonces sabiendo cómo soy como persona me acercaría a él y le preguntaría en qué puedo ayudar"
INESCRUPULOSO,Para tomar tal decisión depende de cuánta madurez tienes y cuán dispuesto estás. Una decisión difícil.
INESCRUPULOSO,"Nunca te dije eso, lo estás inventando."
INESCRUPULOSO,Nosotros la gente depende del dinero y si es un medio para llegar a ser feliz. Disfrute de cada momento que nos da la vida y aprender de ellos.
INESCRUPULOSO,"No voy a ayudarte, deja que tu madre lo haga."
INESCRUPULOSO,"No sentiría que el sufrimiento como el mío, el karma es responsable de pasar la factura a cada persona por los actos malos que él o ella hace, si funciona bien será recompensado pero tendrá su castigo, cada persona recibe lo que él o ella da, depende de nosotros mismos si sufrimos o no."
INESCRUPULOSO,"No sentiría ninguna lástima, además sería una buena manera de obtener venganza sin mover el dedo hahahaja"
INESCRUPULOSO,"No sentiría nada, simplemente si está en mi posibilidad de ayudar, lo hago, pero, para el siguiente será."
INESCRUPULOSO,"No se sentiría mal, al final no es mi problema"
INESCRUPULOSO,"No sé qué decirte. Hay una manera de responderte, pero no puedo encontrarlo."
INESCRUPULOSO,"No quisiera que sufriera y evitara su nacimiento incluso sabiendo que ella era parte de mi decisión de engendrar, no porque ella es un mal ser humano, sino al presenciar varios casos en las familias y sabiendo que la discriminación por parte de la sociedad"
INESCRUPULOSO,"No quiero ir al cielo; ninguno de mis amigos está allí, me refiero a ti."
INESCRUPULOSO,"No puedo sentir su dolor como el mío e incluso si él es un enemigo por alguna razón no le deseo mal tampoco, justo allí para respetar cómo se siente esa persona y que en el futuro todo ese dolor será un aprendizaje para su vida"
INESCRUPULOSO,"No podía sentir tu dolor como el mío, pero si lo que está pasando es algo serio o fuera de la razón por la que somos enemigos, podría mostrar empatía por él."
INESCRUPULOSO,"No podía sentir su sufrimiento como el mío, pero aún así el poder de la empatía me haría sentir algo por lo que buscaría ayudarla."
INESCRUPULOSO,"No podía sentir su dolor como el mío, porque en la vida si lo hago bien lo harás bien, sólo podría desearle la mejor de las suertes y seguir mi camino porque es mejor evitar."
INESCRUPULOSO,"No podía sentir ese sufrimiento que estoy pasando, pero por lo que estoy seguro, que si necesitaba mi ayuda, se lo daría. Porque a veces pasamos por muchas circunstancias y no sabemos quién puede ayudarnos."
INESCRUPULOSO,"No podía estar feliz por su sufrimiento, pero tampoco lo sentiría como mío."
